event_date,admin1,total_fatalities,total_events,population
2024-06-05,Rangpur,0.0,0.0,18000000.0
2024-06-05,Dhaka,1.0,4.0,44200000.0
2024-06-05,Chittagong,1.0,1.0,33200000.000000004
2024-06-05,Khulna,0.0,0.0,17800000.0
2024-06-05,Rajshahi,0.0,0.0,20300000.0
2024-06-05,Barisal,0.0,1.0,9100000.0
2024-06-05,Mymensingh,0.0,1.0,12300000.0
2024-06-05,Sylhet,0.0,0.0,12300000.0
2024-06-06,Rangpur,0.0,0.0,18000000.0
2024-06-06,Dhaka,0.0,5.0,44200000.0
2024-06-06,Chittagong,0.0,0.0,33200000.000000004
2024-06-06,Khulna,0.0,0.0,17800000.0
2024-06-06,Rajshahi,1.0,2.0,20300000.0
2024-06-06,Barisal,0.0,0.0,9100000.0
2024-06-06,Mymensingh,0.0,0.0,12300000.0
2024-06-06,Sylhet,0.0,0.0,12300000.0
2024-06-07,Rangpur,0.0,1.0,18000000.0
2024-06-07,Dhaka,0.0,1.0,44200000.0
2024-06-07,Chittagong,0.0,5.0,33200000.000000004
2024-06-07,Khulna,1.0,2.0,17800000.0
2024-06-07,Rajshahi,0.0,0.0,20300000.0
2024-06-07,Barisal,0.0,0.0,9100000.0
2024-06-07,Mymensingh,0.0,0.0,12300000.0
2024-06-07,Sylhet,0.0,1.0,12300000.0
2024-06-08,Rangpur,0.0,0.0,18000000.0
2024-06-08,Dhaka,0.0,2.0,44200000.0
2024-06-08,Chittagong,1.0,3.0,33200000.000000004
2024-06-08,Khulna,0.0,2.0,17800000.0
2024-06-08,Rajshahi,2.0,3.0,20300000.0
2024-06-08,Barisal,0.0,0.0,9100000.0
2024-06-08,Mymensingh,0.0,1.0,12300000.0
2024-06-08,Sylhet,0.0,0.0,12300000.0
2024-06-09,Rangpur,0.0,0.0,18000000.0
2024-06-09,Dhaka,0.0,3.0,44200000.0
2024-06-09,Chittagong,0.0,1.0,33200000.000000004
2024-06-09,Khulna,0.0,2.0,17800000.0
2024-06-09,Rajshahi,0.0,1.0,20300000.0
2024-06-09,Barisal,0.0,7.0,9100000.0
2024-06-09,Mymensingh,0.0,1.0,12300000.0
2024-06-09,Sylhet,0.0,0.0,12300000.0
2024-06-10,Rangpur,0.0,0.0,18000000.0
2024-06-10,Dhaka,0.0,1.0,44200000.0
2024-06-10,Chittagong,4.0,4.0,33200000.000000004
2024-06-10,Khulna,0.0,0.0,17800000.0
2024-06-10,Rajshahi,0.0,0.0,20300000.0
2024-06-10,Barisal,0.0,3.0,9100000.0
2024-06-10,Mymensingh,0.0,1.0,12300000.0
2024-06-10,Sylhet,0.0,0.0,12300000.0
2024-06-11,Rangpur,0.0,0.0,18000000.0
2024-06-11,Dhaka,0.0,1.0,44200000.0
2024-06-11,Chittagong,2.0,2.0,33200000.000000004
2024-06-11,Khulna,0.0,0.0,17800000.0
2024-06-11,Rajshahi,0.0,1.0,20300000.0
2024-06-11,Barisal,0.0,3.0,9100000.0
2024-06-11,Mymensingh,0.0,0.0,12300000.0
2024-06-11,Sylhet,0.0,0.0,12300000.0
2024-06-12,Rangpur,0.0,1.0,18000000.0
2024-06-12,Dhaka,0.0,2.0,44200000.0
2024-06-12,Chittagong,0.0,0.0,33200000.000000004
2024-06-12,Khulna,0.0,1.0,17800000.0
2024-06-12,Rajshahi,0.0,0.0,20300000.0
2024-06-12,Barisal,0.0,0.0,9100000.0
2024-06-12,Mymensingh,0.0,0.0,12300000.0
2024-06-12,Sylhet,0.0,0.0,12300000.0
2024-06-13,Rangpur,0.0,1.0,18000000.0
2024-06-13,Dhaka,0.0,3.0,44200000.0
2024-06-13,Chittagong,0.0,0.0,33200000.000000004
2024-06-13,Khulna,0.0,0.0,17800000.0
2024-06-13,Rajshahi,0.0,2.0,20300000.0
2024-06-13,Barisal,0.0,0.0,9100000.0
2024-06-13,Mymensingh,0.0,1.0,12300000.0
2024-06-13,Sylhet,0.0,0.0,12300000.0
2024-06-14,Rangpur,0.0,1.0,18000000.0
