event_date,AL: Bangladesh Awami League,ARSA: Arakan Rohingya Salvation Army,ASL: Bangladesh Awami Swechchasebak League,Abduction/forced disappearance,Armed clash,Arrests,Attack,BCL: Bangladesh Chhatra League,Battles,Change to group/activity,Civilians (Bangladesh),Demonstrations,Excessive force against protesters,Government of Bangladesh (2009-2024),Military Forces of Bangladesh (2009-2024),Mob violence,Other,PCJSS-MNL: Parbatya Chattagram Jana Samhati Samiti-MN Larma,PCJSS-SL: Parbatya Chattagram Jana Samhati Samiti-Santu Larma,PCJSS: Parbatya Chattagram Jana Samhati Samiti,Peaceful protest,Police Forces of Bangladesh (2009-2024),Police Forces of Bangladesh (2009-2024) Detective Branch,Police Forces of India (2014-) Border Security Force,Political violence,Political violence; Demonstrations,Protest with intervention,Protesters (Bangladesh),Protests,Rioters (Bangladesh),Riots,Rohingya Muslim Militia (Myanmar),Strategic developments,ULA/AA: United League of Arakan/Arakan Army,Unidentified Armed Group (Bangladesh),Violence against civilians,Violent demonstration,total_events,total_fatalities,Curfew,Broadband Shutdown,Mobile Internet Shutdown,Major Activity Announcement/Major Event
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,2.0,0,0,0,0
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0,0,0,0
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,1.0,0,0,0,0
2024-06-08,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,1.0,11.0,3.0,0,0,0,0
2024-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0,0,0,0
2024-06-10,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0,0,0,0
2024-06-11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0,0,0,0
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0,0,0,0
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0
